iter	Passed	Remaining
424	1770	2395
425	1772	2387
426	1779	2387
427	1780	2379
428	1782	2372
429	1784	2365
430	1785	2357
431	1787	2349
432	1793	2348
433	1795	2341
434	1797	2334
435	1798	2326
436	1800	2319
437	1802	2312
438	1806	2308
439	1807	2301
440	1809	2293
441	1811	2286
442	1812	2279
443	1814	2271
444	1815	2264
445	1817	2257
446	1823	2256
447	1825	2249
448	1828	2243
449	1829	2235
450	1830	2228
451	1832	2221
452	1833	2214
453	1840	2214
454	1842	2206
455	1843	2199
456	1845	2192
457	1846	2185
458	1847	2178
459	1849	2171
460	1855	2169
461	1857	2162
462	1858	2155
463	1860	2149
464	1862	2142
465	1864	2136
466	1871	2136
467	1873	2129
468	1875	2123
469	1877	2116
470	1878	2110
471	1880	2103
472	1888	2104
473	1890	2098
474	1893	2092
475	1895	2086
476	1899	2083
477	1902	2077
478	1904	2071
479	1907	2066
480	1909	2060
481	1911	2054
482	1918	2053
483	1920	2047
484	1922	2041
485	1924	2035
486	1926	2029
487	1932	2027
488	1934	2021
489	1936	2015
490	1938	2009
491	1940	2003
492	1941	1996
493	1945	1993
494	1947	1987
495	1949	1980
496	1951	1974
497	1952	1968
498	1954	1962
499	1956	1956
500	1957	1950
501	1965	1949
502	1966	1943
503	1968	1937
504	1970	1931
505	1982	1935
506	1984	1929
507	1986	1923
508	1987	1917
509	1989	1911
510	1996	1910
511	1998	1904
512	2001	1900
513	2004	1895
514	2012	1894
515	2015	1890
516	2016	1884
517	2018	1878
518	2019	1872
519	2025	1869
520	2027	1864
521	2029	1858
522	2030	1852
523	2032	1846
524	2034	1840
525	2035	1834
526	2041	1832
527	2043	1826
528	2045	1820
529	2046	1814
530	2047	1808
531	2049	1802
532	2050	1796
533	2052	1790
534	2057	1788
535	2059	1782
536	2061	1777
537	2062	1771
538	2070	1770
539	2071	1764
540	2072	1758
541	2074	1752
542	2075	1746
543	2076	1740
544	2078	1734
545	2079	1729
546	2084	1726
547	2085	1720
548	2087	1714
549	2088	1708
550	2090	1703
551	2091	1697
552	2092	1691
553	2094	1685
554	2100	1684
555	2103	1679
556	2105	1674
557	2106	1668
558	2108	1663
559	2115	1662
560	2118	1657
561	2124	1655
562	2128	1652
563	2133	1648
564	2135	1644
565	2137	1639
566	2140	1634
567	2148	1633
568	2150	1629
569	2153	1624
570	2155	1619
571	2165	1620
572	2168	1615
573	2170	1610
574	2172	1605
575	2177	1603
576	2180	1598
577	2182	1593
578	2184	1588
579	2186	1583
580	2188	1578
581	2191	1573
582	2197	1571
583	2200	1567
584	2202	1562
585	2217	1566
586	2219	1561
587	2223	1557
588	2230	1556
589	2233	1551
590	2235	1546
591	2237	1542
592	2244	1540
593	2246	1535
594	2253	1533
595	2264	1534
596	2266	1529
597	2267	1524
598	2269	1519
599	2277	1518
600	2279	1513
601	2281	1508
602	2282	1503
603	2284	1497
604	2299	1501
605	2301	1496
606	2305	1492
607	2310	1489
608	2312	1484
609	2315	1480
610	2317	1475
611	2323	1473
612	2325	1468
613	2328	1463
614	2330	1458
615	2332	1453
616	2333	1448
617	2343	1448
618	2345	1443
619	2348	1439
620	2356	1438
621	2358	1433
622	2359	1427
623	2361	1422
624	2362	1417
625	2375	1418
626	2378	1414
627	2384	1412
628	2387	1408
629	2393	1405
630	2394	1400
631	2407	1401
632	2418	1402
633	2421	1397
634	2425	1393
635	2429	1390
636	2431	1385
637	2433	1380
638	2435	1375
639	2444	1374
640	2446	1370
641	2449	1365
642	2461	1366
643	2474	1367
644	2476	1363
645	2478	1358
646	2480	1353
647	2483	1349
648	2493	1348
649	2495	1343
650	2498	1339
651	2501	1334
652	2509	1333
653	2511	1328
654	2514	1324
655	2516	1319
656	2518	1314
657	2520	1309
658	2532	1310
659	2534	1305
660	2537	1301
661	2545	1299
662	2548	1295
663	2550	1290
664	2553	1286
665	2562	1284
666	2564	1280
667	2565	1275
668	2567	1270
669	2568	1265
670	2575	1263
671	2579	1259
672	2581	1254
673	2582	1249
674	2584	1244
675	2594	1243
676	2596	1238
677	2598	1233
678	2599	1228
679	2607	1227
680	2609	1222
681	2610	1217
682	2614	1213
683	2625	1213
684	2627	1208
685	2628	1203
686	2630	1198
687	2631	1193
688	2642	1192
689	2644	1188
690	2645	1183
691	2647	1178
692	2656	1176
693	2659	1172
694	2661	1168
695	2663	1163
696	2671	1161
697	2673	1156
698	2676	1152
699	2684	1150
700	2686	1145
701	2688	1141
702	2692	1137
703	2699	1135
704	2701	1130
705	2703	1125
706	2707	1121
707	2716	1120
708	2719	1116
709	2722	1111
710	2724	1107
711	2732	1105
712	2734	1100
713	2736	1096
714	2754	1097
715	2756	1093
716	2765	1091
717	2767	1086
718	2768	1082
719	2771	1077
720	2778	1075
721	2780	1070
722	2781	1065
723	2784	1061
724	2786	1057
725	2797	1055
726	2799	1051
727	2816	1052
728	2817	1047
729	2819	1042
730	2827	1040
731	2828	1035
732	2830	1031
733	2832	1026
734	2834	1022
735	2846	1020
736	2848	1016
737	2850	1011
738	2858	1009
739	2861	1005
740	2863	1000
741	2865	996
742	2873	993
743	2875	989
744	2877	984
745	2878	980
746	2880	975
747	2881	970
748	2890	968
749	2892	964
750	2894	959
751	2895	955
752	2897	950
753	2905	948
754	2907	943
755	2909	938
756	2910	934
757	2912	929
758	2920	927
759	2922	922
760	2924	918
761	2925	913
762	2927	909
763	2933	906
764	2936	902
765	2938	897
766	2940	893
767	2941	888
768	2950	886
769	2952	881
770	2954	877
771	2956	873
772	2962	870
773	2966	866
774	2969	862
775	2971	857
776	2980	855
777	2982	851
778	2983	846
779	2985	842
780	2987	837
781	2996	835
782	2998	831
783	3000	826
784	3002	822
785	3003	817
786	3012	815
787	3014	811
788	3017	806
789	3018	802
790	3027	799
791	3028	795
792	3029	790
793	3031	786
794	3033	782
795	3042	779
796	3044	775
797	3046	771
798	3047	766
799	3049	762
800	3056	759
801	3059	755
802	3061	751
803	3064	746
804	3066	742
805	3069	738
806	3071	734
807	3079	731
808	3081	727
809	3084	723
810	3087	719
811	3096	717
812	3098	712
813	3100	708
814	3102	704
815	3111	701
816	3129	701
817	3131	696
818	3133	692
819	3143	690
820	3145	685
821	3147	681
822	3149	677
823	3151	673
824	3159	670
825	3161	665
826	3163	661
827	3164	657
828	3167	653
829	3176	650
830	3193	649
831	3195	645
832	3197	640
833	3199	636
834	3208	633
835	3210	629
836	3212	625
837	3214	621
838	3223	618
839	3225	614
840	3227	610
841	3229	606
842	3237	602
843	3239	598
844	3240	594
845	3242	590
846	3245	586
847	3247	582
848	3249	577
849	3250	573
850	3252	569
851	3260	566
852	3262	562
853	3264	558
854	3266	553
855	3267	549
856	3274	546
857	3277	542
858	3279	538
859	3281	534
860	3284	530
861	3288	526
862	3292	522
863	3293	518
864	3302	515
865	3304	511
866	3306	507
867	3307	503
868	3318	500
869	3320	496
870	3321	491
871	3323	487
872	3324	483
873	3333	480
874	3337	476
875	3347	473
876	3350	469
877	3352	465
878	3354	461
879	3356	457
880	3366	454
881	3369	450
882	3371	446
883	3372	442
884	3380	439
885	3382	435
886	3384	431
887	3386	427
888	3397	424
889	3399	420
890	3400	416
891	3402	411
892	3409	408
893	3411	404
894	3416	400
895	3425	397
896	3428	393
897	3430	389
898	3433	385
899	3444	382
900	3446	378
901	3448	374
902	3458	371
903	3461	367
904	3463	363
905	3465	359
906	3473	356
907	3475	352
908	3478	348
909	3480	344
910	3490	340
911	3492	336
912	3494	332
913	3496	328
914	3505	325
915	3507	321
916	3509	317
917	3512	313
918	3535	311
919	3537	307
920	3539	303
921	3542	299
922	3545	295
923	3547	291
924	3549	287
925	3551	283
926	3553	279
927	3558	276
928	3565	272
929	3567	268
930	3569	264
931	3578	261
932	3580	257
933	3582	253
934	3583	249
935	3585	245
936	3593	241
937	3596	237
938	3597	233
939	3600	229
940	3609	226
941	3613	222
942	3615	218
943	3617	214
944	3622	210
945	3624	206
946	3627	203
947	3630	199
948	3631	195
949	3638	191
950	3640	187
951	3642	183
952	3644	179
953	3646	175
954	3656	172
955	3658	168
956	3659	164
957	3661	160
958	3662	156
959	3668	152
960	3670	148
961	3672	145
962	3673	141
963	3676	137
964	3677	133
965	3678	129
966	3682	125
967	3683	121
968	3685	117
969	3686	114
970	3688	110
971	3690	106
972	3698	102
973	3699	98
974	3701	94
975	3702	91
976	3703	87
977	3705	83
978	3711	79
979	3713	75
980	3714	71
981	3716	68
982	3717	64
983	3719	60
984	3720	56
985	3727	52
986	3728	49
987	3729	45
988	3731	41
989	3732	37
990	3733	33
991	3735	30
992	3736	26
993	3743	22
994	3744	18
995	3746	15
996	3747	11
997	3748	7
998	3750	3
999	3751	0
